 TIMESTAMP 	 VALUE0 	 VALUE1 	 VALUE2 	 VALUE_MEAN 
0.018	-1.12	2.88	9.22	9.724052653086572
0.019	-1.07	2.83	9.55	10.017799159496063
0.021	-1.08	2.82	9.7	10.15917319470438
0.06	-1.11	2.81	9.65	10.111908820791454
0.061	-1.11	2.81	9.65	10.111908820791454
0.063	-1.14	2.8	9.53	9.998024804930221
0.064	-1.01	2.9	9.43	9.917408935805762
0.071	-0.94	2.97	9.39	9.89326033216553
0.096	-0.92	3.03	9.36	9.881138598360009
0.098	-0.95	3.09	9.34	9.883632935312804
0.101	-0.95	3.09	9.34	9.883632935312804
0.111	-0.88	3.09	9.37	9.905523711545998
0.121	-0.79	3.02	9.57	10.066250543275784
0.131	-0.86	2.97	9.52	10.009540448991652
0.142	-0.95	2.92	9.44	9.926857508799046
0.152	-1.04	2.88	9.29	9.781620520138777
0.161	-1.04	2.88	9.29	9.781620520138777
0.171	-1.02	2.89	9.33	9.820458237780965
0.191	-1.0	2.85	9.45	9.920937455704475
0.201	-1.01	2.79	9.38	9.838119739055832
0.211	-1.01	2.79	9.38	9.838119739055832
0.221	-1.03	2.78	9.33	9.789698667476951
0.231	-1.03	2.77	9.26	9.720154319762624
0.241	-1.03	2.79	9.25	9.716352196169096
0.252	-0.98	2.83	9.39	9.856033685007374
0.261	-0.94	2.83	9.42	9.880733778419495
0.271	-0.92	2.8	9.45	9.898934286073425
0.281	-0.89	2.79	9.43	9.874264529573836
0.291	-0.9	2.77	9.43	9.86953899632602
0.303	-0.91	2.82	9.34	9.798780536372881
0.311	-0.91	2.82	9.34	9.798780536372881
0.321	-0.84	2.91	9.27	9.752261276237423
0.331	-0.8	2.89	9.23	9.704895671773087
0.343	-0.8	2.89	9.25	9.723918963051883
0.351	-0.81	2.9	9.28	9.756254404227064
0.361	-0.81	2.9	9.28	9.756254404227064
0.371	-0.84	2.85	9.28	9.744049466212699
0.381	-0.79	2.85	9.34	9.797050576576606
0.393	-0.81	2.86	9.37	9.83018819758808
0.403	-0.84	2.8	9.46	9.901373642076134
0.411	-0.84	2.78	9.48	9.91485753805873
0.421	-0.84	2.78	9.48	9.91485753805873
0.431	-0.85	2.78	9.51	9.944395406458856
0.443	-0.9	2.76	9.43	9.866737049298516
0.451	-0.92	2.77	9.37	9.814081719651615
0.461	-0.92	2.77	9.37	9.814081719651615
0.471	-0.86	2.83	9.22	9.682814673430448
0.481	-0.86	2.83	9.22	9.682814673430448
0.492	-0.85	2.87	9.14	9.617640043170674
0.501	-0.86	2.91	9.11	9.602072692913755
0.511	-0.82	2.91	9.24	9.722041966582946
0.521	-0.82	2.89	9.3	9.773151999227272
0.531	-0.83	2.89	9.36	9.831103702026542
0.542	-0.83	2.89	9.36	9.831103702026542
0.551	-0.88	2.85	9.27	9.738059354922827
0.561	-0.91	2.85	9.27	9.740816187568678
0.571	-0.9	2.84	9.37	9.832217450809354
0.581	-0.95	2.82	9.51	9.964687651903596
0.591	-0.96	2.81	9.57	10.020109779837744
0.601	-0.98	2.77	9.48	9.924903022196238
0.611	-0.95	2.77	9.48	9.921985688358959
0.621	-0.92	2.8	9.43	9.879843116163332
0.631	-0.9	2.81	9.46	9.909475263605032
0.643	-0.89	2.83	9.52	9.971529471450205
