 TIMESTAMP 	 VALUE0 	 VALUE1 	 VALUE2 	 VALUE_MEAN 
0.019	119.6004	16.9098	5.6497	120.92194228629475
0.02	119.6011	16.8702	5.6052	120.91503230074414
0.024	119.5918	16.8093	5.5449	120.89457022439015
0.061	119.562	16.7454	5.4974	120.85405111919087
0.062	119.562	16.7454	5.4974	120.85405111919087
0.063	119.5412	16.6787	5.493	120.82404802078932
0.065	119.4485	16.5815	5.5113	120.7197776761952
0.073	119.4485	16.5815	5.5113	120.7197776761952
0.097	119.3642	16.5337	5.5021	120.62938523320095
0.099	119.3066	16.5047	5.4852	120.56764634299701
0.103	119.3066	16.5047	5.4852	120.56764634299701
0.112	119.1843	16.4589	5.4031	120.43664826501109
0.122	119.1467	16.4468	5.3517	120.39549013156596
0.133	119.165	16.454	5.3227	120.4132985857044
0.143	119.1897	16.4629	5.3204	120.43885717931734
0.153	119.2241	16.4931	5.3339	120.47762803786436
0.162	119.2241	16.4931	5.3339	120.47762803786436
0.173	119.293	16.5535	5.3609	120.55528798049467
0.193	119.3194	16.5722	5.3531	120.58363366896023
0.202	119.3714	16.5857	5.3649	120.63746820312501
0.212	119.3714	16.5857	5.3649	120.63746820312501
0.222	119.4538	16.5856	5.4287	120.72184245400663
0.233	119.4835	16.5861	5.4589	120.75266073536434
0.243	119.5066	16.585	5.4622	120.77551613385886
0.254	119.5107	16.5907	5.4729	120.78084026612002
0.265	119.52	16.5626	5.4498	120.78514163091418
0.273	119.52	16.5626	5.4498	120.78514163091418
0.282	119.5255	16.5668	5.3672	120.78746146984794
0.293	119.5255	16.5668	5.3672	120.78746146984794
0.304	119.548	16.5798	5.3489	120.8106982152243
0.312	119.548	16.5798	5.3489	120.8106982152243
0.323	119.5556	16.6434	5.2996	120.82479056501609
0.332	119.5641	16.6929	5.272	120.83882200360942
0.344	119.5627	16.7211	5.2286	120.83944999237626
0.353	119.5812	16.7285	5.1996	120.85752746871003
0.362	119.5812	16.7285	5.1996	120.85752746871003
0.373	119.6614	16.7213	5.1596	120.93417215911307
0.382	119.6614	16.7213	5.1596	120.93417215911307
0.394	119.7393	16.7184	5.1035	121.008473154982
0.406	119.7819	16.7106	5.0997	121.04938934195414
0.412	119.8188	16.6873	5.0907	121.08231101701024
0.422	119.8188	16.6873	5.0907	121.08231101701024
0.432	119.879	16.6629	5.0851	121.13828923763123
0.444	119.9217	16.6552	5.0812	121.1793233657046
0.453	119.9684	16.6532	5.0881	121.225553537239
0.463	120.0134	16.6412	5.1004	121.26895644459056
0.473	120.0409	16.6459	5.1145	121.29741040051103
0.482	120.0409	16.6459	5.1145	121.29741040051103
0.494	120.066	16.6548	5.1124	121.32338337187932
0.503	120.0643	16.6448	5.1179	121.32056050785457
0.514	120.0568	16.6193	5.1182	121.30965472694248
0.523	120.0641	16.5956	5.0789	121.31198322251598
0.533	120.0789	16.5974	5.0394	121.32523012271604
0.545	120.0977	16.6049	5.0105	121.34366633471234
0.553	120.0977	16.6049	5.0105	121.34366633471234
0.563	120.1383	16.6014	4.9905	121.38254692953184
0.572	120.148	16.5735	4.9674	121.38738760270772
0.582	120.1795	16.5346	4.9532	121.41268223562975
0.594	120.1779	16.4754	4.9197	121.40168821585637
0.603	120.1803	16.4219	4.8969	121.39589341205081
0.613	120.1885	16.384	4.8792	121.3981778318357
0.622	120.1968	16.3462	4.8616	121.40059365274949
0.632	120.1833	16.3192	4.8351	121.38253613901796
0.645	120.1877	16.2756	4.8069	121.37991874383506
0.653	120.1877	16.2756	4.8069	121.37991874383506
0.662	120.1721	16.2529	4.7644	121.3597539721468
0.672	120.1856	16.2449	4.7303	121.37071706742115
0.682	120.1561	16.2444	4.7002	121.34026857811878
0.694	120.136	16.2652	4.6859	121.32259841369206
0.704	120.087	16.2713	4.6632	121.27402115428514
0.713	120.0652	16.2822	4.6543	121.2535558091803
0.723	120.0652	16.2822	4.6543	121.2535558091803
0.733	120.0376	16.2041	4.6287	121.21478100570077
0.744	120.0367	16.1449	4.5954	121.20472286202381
0.753	120.0398	16.0914	4.5728	121.19982358832046
0.765	120.0425	16.052	4.5286	121.19561348584362
0.772	120.06	16.0497	4.5052	121.21177045621435
0.783	120.054	16.0482	4.4785	121.20463935629692
0.793	120.054	16.0482	4.4785	121.20463935629692
0.804	120.0753	16.0516	4.4657	121.2257151314852
0.813	120.0519	16.0525	4.4624	121.20253488941557
0.822	120.0464	16.0368	4.4573	121.19482097222638
0.833	120.0372	16.0155	4.4416	121.18231485926484
0.843	120.059	16.0047	4.4504	121.20280509645806
0.86	120.0477	15.9876	4.4186	121.18819107078875
0.864	120.0544	15.954	4.385	121.18917979902331
0.875	120.0628	15.9303	4.3459	121.19297524501987
0.884	120.0658	15.891	4.3018	121.18921442884263
0.894	120.0658	15.891	4.3018	121.18921442884263
0.907	120.0563	15.8247	4.2314	121.16864712350302
0.916	120.0563	15.8247	4.2314	121.16864712350302
0.926	120.0563	15.8247	4.2314	121.16864712350302
0.937	120.0464	15.8317	4.1726	121.15771320312216
0.946	120.064	15.8294	4.1492	121.17404780314966
