 TIMESTAMP 	 NUSOPEN[00:27:0d:49:49:1e] 	 NUSOPEN[00:27:0d:8b:d6:1e] 	 NUSOPEN[d4:d7:48:44:c7:ae] 	 NUS[00:27:0d:49:49:1f] 	 NUS[00:27:0d:8b:d6:1f] 	 NUS[d4:d7:48:44:c7:af] 	 NUS_2-4GHz[00:27:0d:8b:d6:12] 	 NUS_STU[00:27:0d:49:49:1c] 	 NUS_STU[00:27:0d:8b:d6:13] 	 NUS_STU[00:27:0d:8b:d6:1c] 	 NUS_STU[d4:d7:48:44:c7:ac] 	 NUS_STU_2-4GHz[00:27:0d:8b:d6:14] 	 eduroam[00:27:0d:49:49:16] 	 eduroam[00:27:0d:8b:d6:16] 	 eduroam[00:27:0d:8b:d6:19] 	 eduroam[d4:d7:48:44:c7:a6] 
0.027	-100	-42	-100	-100	-42	-100	-42	-100	-100	-42	-100	-42	-100	-42	-42	-100
1.8	-100	-42	-100	-100	-42	-100	-42	-100	-100	-42	-100	-42	-100	-42	-42	-100
5.988	-100	-100	-100	-100	-100	-100	-42	-100	-41	-39	-100	-42	-100	-100	-42	-100
10.067	-100	-100	-100	-100	-100	-100	-100	-100	-100	-42	-100	-100	-100	-100	-100	-100
25.724	-100	-100	-100	-100	-100	-100	-100	-100	-100	-46	-100	-100	-100	-100	-100	-100
34.21	-41	-100	-100	-41	-100	-100	-100	-41	-100	-100	-100	-100	-42	-100	-100	-100
38.059	-37	-100	-100	-37	-100	-100	-100	-37	-100	-100	-100	-100	-38	-100	-100	-100
39.797	-37	-100	-100	-37	-100	-100	-100	-37	-100	-100	-100	-100	-38	-100	-100	-100
44.226	-37	-100	-100	-37	-100	-100	-100	-37	-100	-100	-100	-100	-38	-100	-100	-100
47.97	-44	-100	-100	-45	-100	-100	-100	-37	-100	-100	-100	-100	-44	-100	-100	-100
52.05	-100	-100	-100	-100	-100	-100	-100	-41	-100	-100	-100	-100	-100	-100	-100	-100
76.284	-100	-100	-46	-100	-100	-100	-100	-100	-100	-100	-46	-100	-100	-100	-100	-100
80.333	-100	-100	-44	-100	-100	-44	-100	-100	-100	-100	-44	-100	-100	-100	-100	-44
